"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['yes']",NA,"['color']","[894, 'yes']","['silver']","36","['silver']","['metal']","",1,3.75171666666667,"chair_metal_original","['chair']","list1"
"","['no']",NA,"['color']","[838, 'no']","['blue']","37","['green']","['plastic']","",1,3.75171666666667,"pitcher_plastic_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[863, 'yes']","['silver']","38","['metal']","['metal']","",1,3.75171666666667,"table_metal_original","['table']","list1"
"","['no']",NA,"['color']","[863, 'no']","['purple']","39","['red']","['plastic']","",1,3.75171666666667,"chair_plastic_purple","['chair']","list1"
"","['yes']",NA,"['color']","[766, 'yes']","['green']","40","['green']","['plastic']","",1,3.75171666666667,"bottle_plastic_green","['bottle']","list1"
"","['no']",NA,"['material']","[921, 'no']","['silver']","41","['leather']","['metal']","",1,3.75171666666667,"pitcher_metal_original","['pitcher']","list1"
"","['yes']",NA,"['material']","[1267, 'yes']","['blue']","42","['wood']","['wood']","",1,3.75171666666667,"spoon_wood_blue","['spoon']","list1"
"","['no']",NA,"['color']","[951, 'no']","['green']","43","['blue']","['wood']","",1,3.75171666666667,"table_wood_green","['table']","list1"
"","['no']",NA,"['material']","[1055, 'yes']","['blue']","44","['plastic']","['glass']","",1,3.75171666666667,"pitcher_glass_blue","['pitcher']","list1"
"","['no']",NA,"['material']","[983, 'no']","['brown']","45","['leather']","['cardboard']","",1,3.75171666666667,"box_cardboard_original","['box']","list1"
"","['no']",NA,"['material']","[1016, 'no']","['blue']","46","['wood']","['plastic']","",1,3.75171666666667,"bag_plastic_blue","['bag']","list1"
"","['no']",NA,"['material']","[1488, 'no']","['green']","47","['denim']","['metal']","",1,3.75171666666667,"bowl_metal_green","['bowl']","list1"
"","['yes']",NA,"['color']","[1068, 'yes']","['brown']","48","['brown']","['rubber']","",1,3.75171666666667,"boot_rubber_brown","['boot']","list1"
"","['yes']",NA,"['color']","['Late', '']","['blue']","49","['blue']","['plastic']","",1,3.75171666666667,"chair_plastic_original","['chair']","list1"
"","['no']",NA,"['material']","[1743, 'no']","['green']","50","['glass']","['paper']","",1,3.75171666666667,"plate_paper_green","['plate']","list1"
"","['no']",NA,"['color']","[964, 'no']","['green']","51","['pink']","['plastic']","",1,3.75171666666667,"spoon_plastic_green","['spoon']","list1"
"","['yes']",NA,"['material']","[1975, 'yes']","['white']","52","['plastic']","['plastic']","",1,3.75171666666667,"pitcher_plastic_original","['pitcher']","list1"
"","['yes']",NA,"['material']","['Late', 'yes']","['green']","53","['metal']","['metal']","",1,3.75171666666667,"chair_metal_green","['chair']","list1"
"","['yes']",NA,"['material']","[835, 'yes']","['silver']","54","['metal']","['metal']","",1,3.75171666666667,"cup_metal_original","['cup']","list1"
"","['yes']",NA,"['color']","[1000, 'yes']","['blue']","55","['blue']","['paper']","",1,3.75171666666667,"bag_paper_blue","['bag']","list1"
"","['yes']",NA,"['material']","[1233, 'yes']","['green']","56","['plastic']","['plastic']","",1,3.75171666666667,"plate_plastic_green","['plate']","list1"
"","['yes']",NA,"['material']","[972, 'yes']","['blue']","57","['plastic']","['plastic']","",1,3.75171666666667,"spoon_plastic_blue","['spoon']","list1"
"","['no']",NA,"['material']","[1343, 'no']","['white']","58","['denim']","['plastic']","",1,3.75171666666667,"spoon_plastic_original","['spoon']","list1"
"","['yes']",NA,"['color']","[903, 'yes']","['green']","59","['green']","['plastic']","",1,3.75171666666667,"cup_plastic_green","['cup']","list1"
"","['yes']",NA,"['material']","[1575, 'yes']","['green']","60","['metal']","['metal']","",1,3.75171666666667,"pitcher_metal_green","['pitcher']","list1"
"","['yes']",NA,"['color']","[838, 'yes']","['green']","61","['green']","['plastic']","",1,3.75171666666667,"bag_plastic_green","['bag']","list1"
